Items_bought,fruit_points,vegetable_points,milk_points,rice_points
"watermelon,citronmelon,gigerinemelon,mammeysapota,dholkapomogranates,muskatpomogranates,sweetsoursopcustardapple,guineagoldpapaya,hortusgoldpapaya,kamiyapapaya,poovanbanana,rasthalibanana,springonion,tomatolocal,tomatohybrid,greenchilli,redchilli,carrot,capsicum,redbellpepper,cowmilk,tonedmilk,basmatirice",46,42,15,3
"watermelon,custardapple,shimlaapple,kashmirapple,brownonion,tomatolocal,greenchilli,redchilli,carrot,cowmilk,basmatirice",23,24,6,3
"watermelon,citronmelon,gigerinemelon,mammeysapota,dholkapomogranates,muskatpomogranates,sweetsoursopcustardapple,guineagoldpapaya,hortusgoldpapaya,kamiyapapaya,poovanbanana,rasthalibanana,springonion,tomatolocal,tomatohybrid,greenchilli,redchilli,carrot,capsicum,redbellpepper,cowmilk,tonedmilk,basmatirice",46,42,15,3
"dasherimango,kesarmango,badmimango,redonion,brownonion,tomatolocal,tonedmilk,sonamasuririce",22,17,9,3
"watermelon,rubypomogranates,kamiyapapaya,poovanbanana,rasthalibanana,nendranbanana,kashmirapple,redonion,tomatolocal,cherrietomato,greenchilli,redchilli,carrot,capsicum,redbellpepper,brocoli,cowmilk,buffalomilk,sonamasuririce,basmatirice",35,41,13,6
"dasherimango,carrot,buffalomilk,sonamasuririce",4,6,7,3
"dasherimango,kesarmango,watermelon,mammeysapota,greensapota,custardapple,guineagoldpapaya,kamiyapapaya,shimlaapple,kashmirapple,redonion,tomatolocal,greenchilli,carrot,buffalomilk,sonamasuririce",51,19,7,3
"dasherimango,kesarmango,badmimango,watermelon,citronmelon,custardapple,shimlaapple,kashmirapple,galaapple,redonion,springonion,tomatolocal,tomatohybrid,cherrietomato,greenchilli,redchilli,carrot,gaajar,capsicum,redbellpepper,yellowbellpepper,cowmilk,buffalomilk,sonamasuririce,basmatirice",50,70,13,6
"badmimango,rubypomogranates,muskatpomogranates,shimlaapple,springonion,tomatolocal,greenchilli,redchilli,capsicum,cowmilk,sonamasuririce",27,22,6,3
"watermelon,custardapple,greenchilli,redchilli,carrot,capsicum,buffalomilk,basmatirice,brownrice",9,13,7,10
"blacksapota,shimlaapple,kashmirapple,galaapple,redonion,tomatohybrid,capsicum,cowmilk,buffalomilk,brownrice",23,14,13,7
"blacksapota,shimlaapple,kashmirapple,galaapple,redonion,tomatohybrid,capsicum,cowmilk,buffalomilk,brownrice",23,14,13,7
"dasherimango,watermelon,citronmelon,gigerinemelon,rubypomogranates,sweetsoursopcustardapple,hortusgoldpapaya,kashmirapple,brownonion,springonion,tomatolocal,greenchilli,redchilli,carrot,brocoli,buffalomilk,sonamasuririce,brownrice",39,34,7,10
"springonion,cherrietomato,redchilli,buffalomilk,basmatirice",0,17,7,3
"guineagoldpapaya,kamiyapapaya,rasthalibanana,nendranbanana,shimlaapple,kashmirapple",32,0,0,0
"kesarmango,watermelon,blacksapota,custardapple,kashmirapple,springonion,tomatolocal,cherrietomato,greenchilli,carrot,capsicum,buffalomilk,sonamasuririce",31,34,7,3
"kesarmango,citronmelon,greensapota,soursopcustardapple,rasthalibanana,kashmirapple,redonion,cherrietomato,gaajar,yellowbellpepper,buffalomilk,sonamasuririce",36,28,7,3
"dasherimango,kesarmango,badmimango,watermelon,kashmirapple,redonion,springonion,greenchilli,carrot,capsicum,buffalomilk,basmatirice",33,21,7,3
"gigerinemelon,blacksapota,soursopcustardapple,nendranbanana,galaapple",25,0,0,0
"custardapple,sweetsoursopcustardapple,poovanbanana,kashmirapple,tomatohybrid,carrot",18,14,0,0
"kesarmango,citronmelon,greensapota,soursopcustardapple,rasthalibanana,kashmirapple,redonion,cherrietomato,gaajar,yellowbellpepper,buffalomilk,sonamasuririce",36,28,7,3
"hortusgoldpapaya,kashmirapple,carrot,capsicum,brocoli",8,12,0,0
"dasherimango,kesarmango,citronmelon,rubypomogranates,rasthalibanana,shimlaapple,springonion,tomatohybrid,cherrietomato,greenchilli,carrot,gaajar,capsicum,cowmilk,tonedmilk,sonamasuririce",40,42,15,3
"muskatpomogranates,tomatolocal,sonamasuririce",1,8,0,3
"dasherimango,kesarmango,watermelon,citronmelon,rubypomogranates,shimlaapple,galaapple,tomatolocal,greenchilli,carrot,redbellpepper,cowmilk,tonedmilk,basmatirice,brownrice",40,22,15,10
"muskatpomogranates,tomatolocal,sonamasuririce",1,8,0,3
"dasherimango,kesarmango,watermelon,citronmelon,rubypomogranates,shimlaapple,galaapple,tomatolocal,greenchilli,carrot,redbellpepper,cowmilk,tonedmilk,basmatirice,brownrice",40,22,15,10
"citronmelon,mammeysapota,rubypomogranates,galaapple,redonion,tomatohybrid,greenchilli,carrot,yellowbellpepper,cowmilk,sonamasuririce",16,28,6,3
"badmimango,watermelon,gigerinemelon,mammeysapota,cherrietomato,redchilli,capsicum,tonedmilk,basmatirice,brownrice",23,13,9,10
"badmimango,watermelon,gigerinemelon,mammeysapota,cherrietomato,redchilli,capsicum,tonedmilk,basmatirice,brownrice",23,13,9,10
"watermelon,rubypomogranates,custardapple,kashmirapple,redonion,tomatohybrid,greenchilli,carrot,brocoli,cowmilk,sonamasuririce",24,22,6,3
"dasherimango,watermelon,gigerinemelon,rubypomogranates,custardapple,sweetsoursopcustardapple,shimlaapple,springonion,tomatolocal,greenchilli,redchilli,carrot,gaajar,capsicum,tonedmilk,brownrice",40,36,9,7
"watermelon,dholkapomogranates,shimlaapple,galaapple,brownonion,tomatolocal,greenchilli,redchilli,carrot,capsicum,tonedmilk,sonamasuririce",16,27,9,3
"watermelon,tomatolocal,buffalomilk,sonamasuririce",5,8,7,3
"kesarmango,watermelon,mammeysapota,blacksapota,dholkapomogranates,muskatpomogranates,soursopcustardapple,sweetsoursopcustardapple,kamiyapapaya,rasthalibanana,shimlaapple,kashmirapple,galaapple,redonion,springonion,tomatolocal,cherrietomato,greenchilli,carrot,capsicum,redbellpepper,yellowbellpepper,brocoli,buffalomilk,basmatirice",61,55,7,3
"badmimango,gigerinemelon,greensapota,custardapple,kamiyapapaya,kashmirapple",31,0,0,0
"watermelon,greensapota,guineagoldpapaya,poovanbanana,kashmirapple,redonion,tomatohybrid,greenchilli,capsicum,buffalomilk,sonamasuririce",27,16,7,3
"dasherimango,blacksapota,custardapple,kamiyapapaya,tomatolocal,greenchilli,capsicum,brocoli,buffalomilk,basmatirice",17,16,7,3
"nendranbanana,springonion,greenchilli,redchilli,carrot,capsicum,yellowbellpepper",1,29,0,0
"kesarmango,watermelon,kashmirapple,tomatolocal,greenchilli,carrot,buffalomilk,sonamasuririce,basmatirice",20,16,7,6
"watermelon,mammeysapota,guineagoldpapaya,nendranbanana,redonion,tomatohybrid,redbellpepper,yellowbellpepper,brocoli,tonedmilk,sonamasuririce,basmatirice",16,29,9,6
"watermelon,greensapota,custardapple,kashmirapple,redonion,tomatolocal,carrot,capsicum,cowmilk,sonamasuririce",18,20,6,3
"watermelon,greensapota,muskatpomogranates,custardapple,guineagoldpapaya,shimlaapple,brownonion,tomatolocal,greenchilli,redchilli,carrot,capsicum,redbellpepper,tonedmilk,sonamasuririce,basmatirice",29,33,9,6
"soursopcustardapple,sweetsoursopcustardapple,kamiyapapaya,rasthalibanana,kashmirapple,redonion,springonion,tomatolocal,carrot,gaajar,redbellpepper,yellowbellpepper,brocoli,basmatirice",26,50,0,3
"dasherimango,kesarmango,badmimango,watermelon,blacksapota,custardapple,soursopcustardapple,sweetsoursopcustardapple,guineagoldpapaya,hortusgoldpapaya,kamiyapapaya,poovanbanana,rasthalibanana,nendranbanana,shimlaapple,kashmirapple,galaapple,redonion,brownonion,springonion,tomatolocal,tomatohybrid,cherrietomato,greenchilli,redchilli,carrot,gaajar,capsicum,redbellpepper,yellowbellpepper,brocoli,cowmilk,buffalomilk,tonedmilk,sonamasuririce",90,79,22,3
"watermelon,greensapota,custardapple,guineagoldpapaya,rasthalibanana,redonion,tomatolocal,cherrietomato,greenchilli,gaajar,yellowbellpepper,buffalomilk,sonamasuririce",27,38,7,3
"dholkapomogranates,muskatpomogranates,kamiyapapaya,redonion,tomatolocal,greenchilli,redchilli,brocoli,sonamasuririce",4,18,0,3
"redonion,brownonion,tomatolocal,cherrietomato,redchilli,capsicum,tonedmilk,basmatirice",0,30,9,3
"dasherimango,watermelon,rubypomogranates,nendranbanana,redonion,carrot,brocoli,tonedmilk,sonamasuririce",19,12,9,3
"greensapota,rubypomogranates,kamiyapapaya,shimlaapple,redonion,greenchilli,carrot,gaajar,brocoli,buffalomilk,sonamasuririce",22,22,7,3
"rubypomogranates,custardapple,poovanbanana,kashmirapple,brownonion,tomatolocal,greenchilli,carrot,redbellpepper,buffalomilk,sonamasuririce",24,28,7,3
"muskatpomogranates,custardapple,poovanbanana,kashmirapple,tomatolocal,redchilli,capsicum,brocoli,buffalomilk,sonamasuririce",16,16,7,3
"badmimango,watermelon,kashmirapple,redonion,tomatohybrid,greenchilli,redchilli,gaajar,capsicum,cowmilk,basmatirice",20,26,6,3
"watermelon,muskatpomogranates,custardapple,poovanbanana,kashmirapple,brownonion,greenchilli,carrot,brocoli,buffalomilk,sonamasuririce",21,17,7,3
"mammeysapota,dholkapomogranates,soursopcustardapple,hortusgoldpapaya,poovanbanana,springonion,yellowbellpepper,buffalomilk",18,16,7,0
"watermelon,guineagoldpapaya,rasthalibanana,kashmirapple,tomatolocal,greenchilli,carrot,brocoli,buffalomilk,sonamasuririce",26,19,7,3
"badmimango,citronmelon,rasthalibanana,galaapple,redonion,tomatolocal,redbellpepper,cowmilk,sonamasuririce",21,17,6,3
"dasherimango,kesarmango,watermelon,blacksapota,soursopcustardapple,rasthalibanana,redonion,tomatohybrid,carrot,redbellpepper,buffalomilk,sonamasuririce,basmatirice",40,23,7,6
"blacksapota,custardapple,shimlaapple,buffalomilk",19,0,7,0
"badmimango,gigerinemelon,dholkapomogranates,nendranbanana",18,0,0,0
"blacksapota,muskatpomogranates,hortusgoldpapaya,rasthalibanana,greenchilli,basmatirice",17,2,0,3
"cowmilk,sonamasuririce",0,0,6,3
"kamiyapapaya,shimlaapple,galaapple,redonion,tomatolocal,greenchilli,capsicum,tonedmilk,sonamasuririce",12,16,9,3
"watermelon,greensapota,muskatpomogranates,custardapple,kashmirapple,redonion,tomatohybrid,greenchilli,carrot,capsicum,redbellpepper,yellowbellpepper,brocoli,tonedmilk,sonamasuririce",19,40,9,3
"greensapota,rubypomogranates,custardapple,kamiyapapaya,kashmirapple,redonion,tomatolocal,greenchilli,carrot,cowmilk,sonamasuririce,basmatirice",24,19,6,6
"watermelon,mammeysapota,custardapple,kashmirapple,brownonion,tomatolocal,greenchilli,carrot,brocoli,cowmilk,sonamasuririce",17,25,6,3
"rubypomogranates,sweetsoursopcustardapple,hortusgoldpapaya,poovanbanana,kashmirapple,redchilli,carrot,capsicum,yellowbellpepper,cowmilk,sonamasuririce",25,20,6,3
"watermelon,greensapota,muskatpomogranates,custardapple,kashmirapple,brownonion,tomatolocal,carrot,capsicum,brocoli,buffalomilk,sonamasuririce,basmatirice",19,26,7,6
"redonion,springonion,tomatohybrid,greenchilli,redbellpepper,buffalomilk,basmatirice",0,26,7,3
"dholkapomogranates,guineagoldpapaya,rasthalibanana,kashmirapple,redonion,tomatohybrid,redchilli,carrot,redbellpepper,tonedmilk,basmatirice",22,25,9,3
"watermelon,guineagoldpapaya,nendranbanana,kashmirapple,brownonion,carrot,capsicum,brocoli,buffalomilk,sonamasuririce",20,18,7,3
"citronmelon,greensapota,custardapple,kashmirapple,brownonion,tomatohybrid,greenchilli,carrot,brocoli,cowmilk,sonamasuririce,basmatirice",16,25,6,6
"badmimango,kamiyapapaya,rasthalibanana,redonion,tomatolocal,greenchilli,carrot,brocoli,buffalomilk,sonamasuririce",18,22,7,3
"watermelon,rubypomogranates,custardapple,shimlaapple,redonion,greenchilli,redchilli,carrot,brocoli,cowmilk,sonamasuririce,basmatirice",26,16,6,6
"watermelon,greensapota,custardapple,kashmirapple,redonion,tomatolocal,greenchilli,carrot,brocoli,cowmilk,sonamasuririce",18,22,6,3
"dholkapomogranates,muskatpomogranates,sweetsoursopcustardapple,hortusgoldpapaya,rasthalibanana,kashmirapple,tomatolocal,greenchilli,gaajar",20,18,0,0
"brownonion,springonion,tomatolocal,greenchilli,carrot,capsicum,yellowbellpepper",0,41,0,0
"greensapota,sweetsoursopcustardapple,kamiyapapaya,brownonion,tomatohybrid,redchilli,yellowbellpepper,buffalomilk,sonamasuririce",8,25,7,3
"mammeysapota,dholkapomogranates,muskatpomogranates,sweetsoursopcustardapple,brownonion,tomatolocal,greenchilli,buffalomilk,sonamasuririce",7,16,7,3
"watermelon,greensapota,soursopcustardapple,brownonion,cherrietomato,capsicum,cowmilk,basmatirice",16,17,6,3
"watermelon,custardapple,kashmirapple,redonion,tomatohybrid,greenchilli,capsicum,cowmilk,sonamasuririce",15,16,6,3
"greensapota,dholkapomogranates,muskatpomogranates,sweetsoursopcustardapple,kamiyapapaya,nendranbanana,brownonion,tomatohybrid,redchilli,carrot,capsicum,yellowbellpepper",11,34,0,0
"redonion,springonion,tomatohybrid,greenchilli,carrot,yellowbellpepper",0,35,0,0
"redonion,brownonion,springonion,tomatohybrid,cherrietomato,redchilli,gaajar,capsicum,yellowbellpepper",0,54,0,0
"greensapota,muskatpomogranates,hortusgoldpapaya,shimlaapple,redonion,tomatohybrid,cherrietomato,carrot,cowmilk,sonamasuririce",14,25,6,3
"citronmelon,nendranbanana,tomatohybrid,greenchilli,redchilli,capsicum,brocoli,tonedmilk,brownrice",4,18,9,7
"guineagoldpapaya,poovanbanana,rasthalibanana,kashmirapple,redonion,springonion,cherrietomato,carrot,brocoli,buffalomilk",26,27,7,0
"redonion,brownonion,springonion,tomatohybrid,cherrietomato,redchilli,carrot,capsicum,yellowbellpepper",0,52,0,0
"badmimango,watermelon,muskatpomogranates,kashmirapple,cowmilk",21,0,6,0
"kesarmango,badmimango,watermelon,blacksapota,custardapple,shimlaapple,kashmirapple,redonion,greenchilli,redchilli,carrot,capsicum,brocoli,buffalomilk,sonamasuririce",48,19,7,3
"kesarmango,citronmelon,greensapota,sweetsoursopcustardapple,kashmirapple,redonion,cherrietomato,redbellpepper,cowmilk,sonamasuririce",24,17,6,3
"citronmelon,mammeysapota,greensapota,rubypomogranates,shimlaapple,redonion,tomatohybrid,redchilli,capsicum,brocoli,tonedmilk,basmatirice",25,19,9,3
"watermelon,greensapota,guineagoldpapaya,kashmirapple,springonion,redchilli,brocoli,tonedmilk,brownrice",22,12,9,7
"rubypomogranates,guineagoldpapaya,poovanbanana,nendranbanana,brownonion,springonion,tomatohybrid,greenchilli,gaajar,buffalomilk",23,31,7,0
"guineagoldpapaya,poovanbanana,nendranbanana,galaapple,springonion,cherrietomato,carrot,redbellpepper,buffalomilk,sonamasuririce",16,27,7,3
"greensapota,rubypomogranates,poovanbanana,shimlaapple,brownonion,tomatolocal,greenchilli,capsicum,cowmilk,sonamasuririce",25,19,6,3
"watermelon,gigerinemelon,guineagoldpapaya,poovanbanana,nendranbanana,galaapple,brownonion,tomatolocal,greenchilli,carrot,yellowbellpepper,buffalomilk,tonedmilk,sonamasuririce,brownrice",28,31,16,10
"dasherimango,badmimango,citronmelon,gigerinemelon,blacksapota,rubypomogranates,muskatpomogranates,sweetsoursopcustardapple,hortusgoldpapaya,kashmirapple,galaapple,brownonion,springonion,tomatohybrid,cherrietomato,greenchilli,yellowbellpepper,cowmilk,buffalomilk,sonamasuririce,basmatirice",53,40,13,6
"watermelon,greensapota,custardapple,rasthalibanana,kashmirapple,brownonion,tomatolocal,greenchilli,carrot,capsicum,buffalomilk,sonamasuririce",25,25,7,3
"watermelon,greensapota,custardapple,kashmirapple,redonion,tomatolocal,greenchilli,yellowbellpepper,brocoli,cowmilk,sonamasuririce",18,25,6,3
"redonion,tomatolocal,cherrietomato,redbellpepper,tonedmilk",0,25,9,0
basmatirice,0,0,0,3
"watermelon,custardapple,kamiyapapaya,kashmirapple,brownonion,greenchilli,carrot,brocoli,buffalomilk,sonamasuririce",17,17,7,3
"watermelon,greensapota,rubypomogranates,poovanbanana,shimlaapple,redonion,tomatohybrid,greenchilli,redchilli,capsicum,redbellpepper,brocoli,tonedmilk,sonamasuririce,basmatirice",30,27,9,6
"greensapota,muskatpomogranates,soursopcustardapple,hortusgoldpapaya,kashmirapple,brownonion,tomatohybrid,redchilli,redbellpepper,tonedmilk,basmatirice",20,22,9,3
"watermelon,greensapota,rubypomogranates,rasthalibanana,shimlaapple,redonion,tomatohybrid,greenchilli,redchilli,carrot,capsicum,brocoli,buffalomilk,sonamasuririce,basmatirice",32,27,7,6
"badmimango,watermelon,muskatpomogranates,kashmirapple,greenchilli,capsicum,redbellpepper,cowmilk,sonamasuririce",21,11,6,3
"mammeysapota,sweetsoursopcustardapple,poovanbanana,shimlaapple,springonion,redchilli,carrot,gaajar,brocoli,tonedmilk,sonamasuririce",18,26,9,3
"kesarmango,watermelon,citronmelon,greensapota,rubypomogranates,hortusgoldpapaya,rasthalibanana,tomatolocal,greenchilli,gaajar,redbellpepper,cowmilk,buffalomilk,sonamasuririce,basmatirice",38,24,13,6
"watermelon,custardapple,kamiyapapaya,kashmirapple,redonion,greenchilli,carrot,gaajar,brocoli,cowmilk,sonamasuririce",17,22,6,3
"redonion,springonion,cherrietomato,carrot,capsicum,brocoli,buffalomilk,sonamasuririce",0,30,7,3
"tomatohybrid,carrot,redbellpepper",0,20,0,0
"custardapple,sweetsoursopcustardapple,kamiyapapaya,shimlaapple,brownonion,tomatohybrid,capsicum,yellowbellpepper,cowmilk,sonamasuririce",17,26,6,3
"badmimango,gigerinemelon,greensapota,guineagoldpapaya,hortusgoldpapaya,poovanbanana,nendranbanana,galaapple,springonion,tomatohybrid,cherrietomato,carrot,capsicum,buffalomilk,tonedmilk,basmatirice",37,32,16,3
"dholkapomogranates,custardapple,poovanbanana,shimlaapple,kashmirapple,galaapple,brownonion,tomatolocal,greenchilli,redchilli,carrot,gaajar,tonedmilk,sonamasuririce",26,32,9,3
"dasherimango,badmimango,watermelon,gigerinemelon,blacksapota,greensapota,muskatpomogranates,soursopcustardapple,hortusgoldpapaya,kamiyapapaya,shimlaapple,kashmirapple,redonion,brownonion,tomatohybrid,greenchilli,carrot,capsicum,brocoli,cowmilk,buffalomilk,sonamasuririce",62,31,13,3
"watermelon,custardapple,hortusgoldpapaya,kashmirapple,redonion,tomatolocal,greenchilli,cowmilk,sonamasuririce",17,13,6,3
"watermelon,greensapota,custardapple,kamiyapapaya,poovanbanana,shimlaapple,redonion,tomatohybrid,greenchilli,redchilli,carrot,redbellpepper,brocoli,buffalomilk,sonamasuririce,basmatirice",27,30,7,6
"sonamasuririce,brownrice",0,0,0,10
"watermelon,greensapota,custardapple,shimlaapple,brownonion,greenchilli,carrot,capsicum,buffalomilk,sonamasuririce",20,17,7,3
"greensapota,rubypomogranates,hortusgoldpapaya,shimlaapple,redonion,tomatolocal,redchilli,carrot,capsicum,buffalomilk,sonamasuririce",22,22,7,3
"watermelon,rubypomogranates,kamiyapapaya,shimlaapple,redonion,tomatolocal,greenchilli,carrot,brocoli,buffalomilk,tonedmilk,sonamasuririce",24,22,16,3
"brownonion,springonion,tomatolocal,redchilli,capsicum,yellowbellpepper,tonedmilk,sonamasuririce",0,35,9,3
"citronmelon,gigerinemelon,blacksapota,cherrietomato,capsicum,yellowbellpepper,cowmilk,brownrice",17,20,6,7
"gigerinemelon,greensapota,muskatpomogranates,redonion,springonion,greenchilli,buffalomilk,basmatirice",11,12,7,3
"dasherimango,gigerinemelon,blacksapota,greensapota,soursopcustardapple,hortusgoldpapaya,rasthalibanana,shimlaapple,brownonion,tomatolocal,tomatohybrid,carrot,yellowbellpepper,cowmilk,buffalomilk,tonedmilk,basmatirice",46,37,22,3
"redonion,springonion,cherrietomato,redbellpepper",0,24,0,0
"cherrietomato,redchilli,capsicum,brocoli",0,16,0,0
"soursopcustardapple,kamiyapapaya,shimlaapple,greenchilli,redbellpepper,basmatirice",18,8,0,3
"dasherimango,dholkapomogranates,soursopcustardapple,hortusgoldpapaya,galaapple,springonion,cherrietomato,redbellpepper,brownrice",17,21,0,7
"watermelon,greensapota,sweetsoursopcustardapple,shimlaapple,redonion,springonion,greenchilli,redbellpepper,buffalomilk,basmatirice",19,18,7,3
"citronmelon,blacksapota,greensapota,yellowbellpepper,buffalomilk,sonamasuririce",13,9,7,3
"dasherimango,badmimango,citronmelon,blacksapota,dholkapomogranates,soursopcustardapple,guineagoldpapaya,poovanbanana,nendranbanana,brownonion,springonion,tomatohybrid,carrot,gaajar,capsicum,cowmilk,buffalomilk,sonamasuririce,basmatirice",46,38,13,6
"dasherimango,badmimango,citronmelon,mammeysapota,dholkapomogranates,muskatpomogranates,sweetsoursopcustardapple,hortusgoldpapaya,poovanbanana,nendranbanana,kashmirapple,brownonion,tomatolocal,cherrietomato,carrot,gaajar,redbellpepper,brocoli,cowmilk,buffalomilk,tonedmilk,basmatirice,brownrice",37,45,22,10
"tomatolocal,greenchilli,capsicum",0,13,0,0
"citronmelon,greensapota,custardapple,hortusgoldpapaya",12,0,0,0
"badmimango,watermelon,muskatpomogranates,kashmirapple,tonedmilk,sonamasuririce,brownrice",21,0,9,10
"watermelon,greensapota,sweetsoursopcustardapple,shimlaapple,redonion,springonion,greenchilli,redbellpepper,buffalomilk,basmatirice",19,18,7,3
"rubypomogranates,custardapple,poovanbanana,galaapple,brownonion,tomatolocal,greenchilli,capsicum,buffalomilk,sonamasuririce",20,19,7,3
"greensapota,soursopcustardapple,kamiyapapaya",13,0,0,0
"gigerinemelon,muskatpomogranates,kamiyapapaya,brownonion,greenchilli,brocoli,buffalomilk,brownrice",10,11,7,7
"dasherimango,badmimango,citronmelon,mammeysapota,guineagoldpapaya,kamiyapapaya,galaapple,brownonion,tomatolocal,carrot,yellowbellpepper,buffalomilk,tonedmilk,basmatirice",30,29,16,3
"springonion,tomatohybrid,carrot,redbellpepper",0,27,0,0
"watermelon,mammeysapota,muskatpomogranates,carrot,capsicum,redbellpepper,buffalomilk,sonamasuririce",8,15,7,3
"kesarmango,watermelon,blacksapota,dholkapomogranates,sweetsoursopcustardapple,kamiyapapaya,rasthalibanana,brownonion,tomatolocal,greenchilli,gaajar,yellowbellpepper,buffalomilk,basmatirice",34,33,7,3
"dasherimango,citronmelon,blacksapota,rubypomogranates,soursopcustardapple,kamiyapapaya,galaapple,redonion,springonion,greenchilli,gaajar,yellowbellpepper,cowmilk,basmatirice",35,29,6,3
"kesarmango,greensapota,hortusgoldpapaya,nendranbanana,tomatolocal,greenchilli,capsicum,yellowbellpepper,buffalomilk,basmatirice",15,22,7,3
"dasherimango,kesarmango,watermelon,dholkapomogranates,custardapple,shimlaapple,carrot,gaajar,capsicum,cowmilk,basmatirice",31,17,6,3
"dasherimango,kesarmango,watermelon,citronmelon,custardapple,soursopcustardapple,sweetsoursopcustardapple,guineagoldpapaya,poovanbanana,shimlaapple,redonion,tomatolocal,cherrietomato,greenchilli,redchilli,carrot,capsicum,cowmilk,buffalomilk,sonamasuririce,basmatirice",57,32,13,6
"badmimango,citronmelon,blacksapota,rubypomogranates,custardapple,poovanbanana,kashmirapple,redonion,springonion,cherrietomato,greenchilli,redchilli,capsicum,brocoli,buffalomilk,tonedmilk,sonamasuririce,basmatirice",43,28,16,6
"kesarmango,watermelon,custardapple,shimlaapple,galaapple,springonion,cherrietomato,gaajar,cowmilk,buffalomilk,sonamasuririce",28,23,13,3
"watermelon,rubypomogranates,custardapple,guineagoldpapaya,redonion,springonion,tomatolocal,greenchilli,redchilli,capsicum,brocoli,cowmilk,basmatirice",26,28,6,3
"dasherimango,badmimango,watermelon,custardapple,sweetsoursopcustardapple,kamiyapapaya,rasthalibanana,redonion,tomatolocal,greenchilli,carrot,gaajar,redbellpepper,brocoli,cowmilk,sonamasuririce,basmatirice,brownrice",34,36,6,13
"dasherimango,watermelon,blacksapota,muskatpomogranates,custardapple,guineagoldpapaya,kamiyapapaya,shimlaapple,galaapple,redonion,springonion,tomatohybrid,cherrietomato,greenchilli,redchilli,carrot,capsicum,brocoli,buffalomilk,tonedmilk,sonamasuririce,basmatirice,brownrice",41,42,16,13
"dasherimango,kesarmango,badmimango,watermelon,rubypomogranates,custardapple,redonion,springonion,tomatolocal,tomatohybrid,cherrietomato,greenchilli,redchilli,carrot,gaajar,capsicum,redbellpepper,yellowbellpepper,brocoli,cowmilk,buffalomilk,tonedmilk,sonamasuririce,basmatirice,brownrice",40,73,22,13
"dasherimango,kesarmango,watermelon,citronmelon,rubypomogranates,shimlaapple,kashmirapple,galaapple,redonion,brownonion,springonion,tomatolocal,tomatohybrid,cherrietomato,greenchilli,redchilli,carrot,gaajar,capsicum,redbellpepper,yellowbellpepper,brocoli,cowmilk,buffalomilk,tonedmilk,sonamasuririce,basmatirice,brownrice",46,79,22,13
"watermelon,dholkapomogranates,muskatpomogranates,shimlaapple,kashmirapple,redonion,tomatolocal,greenchilli,redchilli,carrot,capsicum,buffalomilk,sonamasuririce",21,24,7,3
"dasherimango,dholkapomogranates,soursopcustardapple,hortusgoldpapaya,galaapple,tomatolocal,greenchilli,redbellpepper,buffalomilk",17,16,7,0
"dasherimango,gigerinemelon,dholkapomogranates,rubypomogranates,sweetsoursopcustardapple,kamiyapapaya,poovanbanana,nendranbanana,springonion,capsicum,yellowbellpepper,cowmilk,tonedmilk,basmatirice",32,19,15,3
"kesarmango,watermelon,blacksapota,dholkapomogranates,custardapple,rasthalibanana,nendranbanana,kashmirapple,brownonion,springonion,tomatolocal,greenchilli,carrot,capsicum,brocoli,cowmilk,sonamasuririce,basmatirice",40,35,6,6
"watermelon,citronmelon,blacksapota,greensapota,rubypomogranates,muskatpomogranates,kashmirapple,carrot,brocoli,cowmilk,basmatirice",34,9,6,3
"dasherimango,kesarmango,watermelon,gigerinemelon,mammeysapota,blacksapota,greensapota,dholkapomogranates,rubypomogranates,muskatpomogranates,custardapple,kamiyapapaya,poovanbanana,rasthalibanana,nendranbanana,shimlaapple,kashmirapple,redonion,brownonion,springonion,tomatolocal,tomatohybrid,greenchilli,redchilli,carrot,capsicum,redbellpepper,yellowbellpepper,brocoli,cowmilk,sonamasuririce,basmatirice,brownrice",81,63,6,13
"greensapota,muskatpomogranates,guineagoldpapaya,nendranbanana,kashmirapple,redonion,tomatolocal,greenchilli,carrot,redbellpepper,buffalomilk,sonamasuririce",19,25,7,3
"kesarmango,watermelon,blacksapota,dholkapomogranates,sweetsoursopcustardapple,kamiyapapaya,rasthalibanana,brownonion,tomatolocal,greenchilli,gaajar,yellowbellpepper,buffalomilk,basmatirice",34,33,7,3
"dasherimango,citronmelon,blacksapota,rubypomogranates,soursopcustardapple,kamiyapapaya,galaapple,redonion,springonion,greenchilli,gaajar,yellowbellpepper,cowmilk,basmatirice",35,29,6,3
"kesarmango,greensapota,hortusgoldpapaya,nendranbanana,tomatolocal,greenchilli,capsicum,yellowbellpepper,buffalomilk,basmatirice",15,22,7,3
"dasherimango,kesarmango,watermelon,dholkapomogranates,custardapple,shimlaapple,carrot,gaajar,capsicum,cowmilk,basmatirice",31,17,6,3
"dasherimango,kesarmango,watermelon,citronmelon,custardapple,soursopcustardapple,sweetsoursopcustardapple,guineagoldpapaya,poovanbanana,shimlaapple,redonion,tomatolocal,cherrietomato,greenchilli,redchilli,carrot,capsicum,cowmilk,buffalomilk,sonamasuririce,basmatirice",57,32,13,6
"badmimango,citronmelon,blacksapota,rubypomogranates,custardapple,poovanbanana,kashmirapple,redonion,springonion,cherrietomato,greenchilli,redchilli,capsicum,brocoli,buffalomilk,tonedmilk,sonamasuririce,basmatirice",43,28,16,6
